"user_id","school","startdate","enddate","degree_raw","field_raw"
4497356,"Pellissippi State Community College",,,"Associate of Science (A.S.)",
961016573,"Instituto Tecnológico de Mérida","2003-01-01","2007-01-01","Ingeniería","Ingeniería industrial"
16620582,"Bhashyam public school","2007-01-01","2008-01-01","ssc","10th Standard"
88335382,"Widener University",,,,
522667152,"La Trobe University","2013-01-01","2015-01-01","Bachelor of Biomedical Science","Physiology, General"
134428770,"The University of Texas at San Antonio","2010-01-01","2019-01-31","Ph.D.",
541097100,"四川大学","2017-01-01","2020-01-01","硕士","中文"
606783801,"disha delphi global sen. sec. school","2014-01-01","2016-01-01","12 th",
132087945,"Universidade Paulista","2018-01-01","2022-01-01","Bacharelado","Sistemas de Informação"
92360570,"Dickinson College","2015-01-01","2019-01-01","Bachelor’s Degree","International Business and Management & Economics"
